Company,items,industry
오이솔루션,['광트랜시버'],['통신 및 방송 장비 제조업']
텔콘RF제약,"['RF 통신부품(케이블 어셈블리, 커넥터 등)']",['통신 및 방송 장비 제조업']
인성정보,['넷트워크 관련 장비 및 솔루션'],"['컴퓨터 프로그래밍, 시스템 통합 및 관리업']"
브이원텍,"['LCD/OLED 압흔검사기, 2차전지 검사장비']",['특수 목적용 기계 제조업']
유비쿼스홀딩스,"['지주회사, 자회사관리, 부동산임대']",['기타 금융업']
에스유홀딩스,['FLC'],['상품 종합 도매업']
캠시스,['휴대폰용 카메라모듈'],['전자부품 제조업']
유비쿼스,"['스위치, FTTH']",['통신 및 방송 장비 제조업']
기가레인,['RF통신부품 및 반도체 장비'],['특수 목적용 기계 제조업']
아모그린텍,['비정질 및 나노결정립을 이용한 자성부품 및 전류센서'],['전자부품 제조업']
에스코넥,['WaferProber'],['통신 및 방송 장비 제조업']
세코닉스,"['모바일용 카메라렌즈, 차량용 카메라 및 광학부품']",['사진장비 및 광학기기 제조업']
하이소닉,['휴대폰 카메라용 Auto Focus Actuator'],['전자부품 제조업']
탑엔지니어링,['LCD Cell Line 자동화 장치'],['특수 목적용 기계 제조업']
우주일렉트로,['정보통신용 초정밀커넥터'],['전자부품 제조업']
써니전자,"['수정진동자,수정발진기,초음파지연선,MCF,축수나사 제조,도매,수출입']",['전자부품 제조업']
AP위성,['위성통신 단말기'],"['항공기,우주선 및 부품 제조업']"
뉴프렉스,['연성인쇄회로기판'],['전자부품 제조업']
와이팜,['전력증폭기 모듈(PAM)'],['전자부품 제조업']
펨트론,['3D 정밀측정 검사장비'],['특수 목적용 기계 제조업']
디케이티,['스마트폰용 FPCA'],['전자부품 제조업']
라이트론,['기타무선통신장비제조업'],['통신 및 방송 장비 제조업']
웨이브일렉트로,['이동통신중계기용전력증폭기'],"['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
센코,"['가스센서 및 모듈, 휴대용 및 고정형 가스검지기, 악취 & 미세먼지 모니터링 시스템']","['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
