Company,items,industry,중분류
모니터랩,"웹방화벽,유해사이트솔루션,가시성SSL 솔루션, SASE플랫폼기반 SECaaS",'소프트웨어 개발 및 공급업',소프트웨어
웨이버스,금융 지원 서비스,'소프트웨어 개발 및 공급업',소프트웨어
씨이랩,빅데이터플랫폼,'소프트웨어 개발 및 공급업',소프트웨어
샌즈랩,사이버 위협 인텔리전스(CTI),'소프트웨어 개발 및 공급업',소프트웨어
네오리진,네트워크장비공급및인터넷트래픽솔루션,'소프트웨어 개발 및 공급업',소프트웨어
산돌,리테일 폰트 등,'소프트웨어 개발 및 공급업',소프트웨어
디지캡,"보호솔루션, 방송서비스솔루션 등",'소프트웨어 개발 및 공급업',소프트웨어
아이퀘스트,"패키지 ERP, 구축형 ERP 등",'소프트웨어 개발 및 공급업',소프트웨어
미디어젠,음성인식 소프트웨어 기술개발,'소프트웨어 개발 및 공급업',소프트웨어
누리플렉스,"지능형검침인프라(AMI),에너지관리시스템, 플랫폼 SW",'소프트웨어 개발 및 공급업',소프트웨어
토마토시스템,"UI/UX솔루션, 대학정보화사업 SW",'소프트웨어 개발 및 공급업',소프트웨어
브레인즈컴퍼니,IT 인프라 통합관리 솔루션,'소프트웨어 개발 및 공급업',소프트웨어
수산아이앤티,"공유단말접속관리서비스, 보안솔루션 등",'소프트웨어 개발 및 공급업',소프트웨어
인지소프트,"금융솔루션,동기화솔루션",'소프트웨어 개발 및 공급업',소프트웨어
시큐센,"디지털 금융 서비스 구축, 모바일 보안솔루션, 생체인증 전자서명",'소프트웨어 개발 및 공급업',소프트웨어
세중,여행,'소프트웨어 개발 및 공급업',소프트웨어
포시에스,기업용 리포팅 소프트웨어 솔루션(OZ-Report 등),'소프트웨어 개발 및 공급업',소프트웨어
시큐브,"시스템보안관리솔루션, 정보유출방지솔루션",'소프트웨어 개발 및 공급업',소프트웨어
이니텍,정보보안 및 인증솔루션,'소프트웨어 개발 및 공급업',소프트웨어
핀텔,AI 영상 분석 솔루션 및 소프트웨어,'소프트웨어 개발 및 공급업',소프트웨어
알티캐스트,"디지털 방송용 소프트웨어(셋톱박스용 미들웨어 등), CAS(수신제한시스템)",'소프트웨어 개발 및 공급업',소프트웨어
SGA,"산업용컴퓨터 제조, 판매",'소프트웨어 개발 및 공급업',소프트웨어
SGA솔루션즈,보안솔루션,'소프트웨어 개발 및 공급업',소프트웨어
엑스게이트,통합 네트워크 보안 솔루션,'소프트웨어 개발 및 공급업',소프트웨어
코닉오토메이션,금융 지원 서비스(SPAC),'소프트웨어 개발 및 공급업',소프트웨어
소프트캠프,통합보안솔루션,'소프트웨어 개발 및 공급업',소프트웨어
비투엔,"데이터컨설팅, 품질관리 솔루션",'소프트웨어 개발 및 공급업',소프트웨어
이노룰스,"InnoRules, InnoProduct",'소프트웨어 개발 및 공급업',소프트웨어
비플라이소프트,"아이서퍼, 위고몬 등",'소프트웨어 개발 및 공급업',소프트웨어
휴네시온,망간자료전송(i-oneNet),'소프트웨어 개발 및 공급업',소프트웨어
와이더플래닛,빅데이터/인공지능 마케팅플랫폼 및 데이터플랫폼,'소프트웨어 개발 및 공급업',소프트웨어
싸이버원,보안관제 및 보안컨설팅 등,'소프트웨어 개발 및 공급업',소프트웨어
지란지교시큐리티,보안 소프트웨어,'소프트웨어 개발 및 공급업',소프트웨어
에스에스알,"취약점 진단 솔루션, 모의해킹 컨설팅",'소프트웨어 개발 및 공급업',소프트웨어
모코엠시스,"연계솔루션, 보안솔루션, APM솔루션",'소프트웨어 개발 및 공급업',소프트웨어
아이티아이즈,"디지털금융솔루션 제공 및 AI, Big Data 서비스, 클라우드 통합 플랫폼 (GURMWI)",'소프트웨어 개발 및 공급업',소프트웨어
