Company,items,industry,description
농심,"라면,스낵,유지 제조,도매,수출입",기타 식품 제조업,"기업개요
동사는 면류, 스낵, 음료 등의 판매를 주사업으로 하며 브랜드 파워, 연구개발 역량, 생산 및 품질, 경영능력 면에서 세계적인 경쟁력을 갖추고 있음.
전 세계 100여 개 국가에 주요 제품을 수출하고 있으며, '농심 아메리카', '상하이 농심푸드' 등 주요종속회사들과 시너지 효과를 냄.
백산수를 먹는샘물 분야의 브랜드로 육성 중이며, 국내외 수요 확대에 대비하여 생산능력을 대규모로 확충.
출처 : 에프앤가이드"
동원F&B,"참치캔,음료,냉동식품 제조,판매",기타 식품 제조업,"기업개요
동사는 일반식품부문, 조미유통부문, 사료부문, 온라인사업부문으로 구성되어 있음.
동사의 일반식품은 동원 브랜드의 참치캔 등, 양반 브랜드의 조미김 등, 덴마크 등 유가공제품, 리챔의 육가공제품, 다양한 소스류와 사료사업 등으로 확장해왔음.
코로나 19의 영향으로 인해 온라인시장이 꾸준히 상승추세를 보이고 있음. 이는 물류산업의 발전과 소비자 행동의 변화에 따른 것으로 합리적이고 편리함을 갖춘 온라인 시장의 지속적인 성장이 예상됨.
출처 : 에프앤가이드"
무학,소주,알코올음료 제조업,"기업개요
동사는 부산, 경남, 울산을 대표하는 주류제조 및 판매 기업으로 동남권 지역에서 주력상품인 순한 소주 '딱좋은데이' 및 '화이트소주'로 소주시장에서 주요 위치를 차지하고 있음.
지역밀착 경영을 통한 높은 점유율을 유지관리하고 있으며, 매실마을, 국화면좋으리와 같이 지역 특산물을 이용한 주류의 개발과 상품화로 지역과의 동반성장을 위해 노력함.
미국과 일본 등지에서 꾸준한 수출 실적 상승으로 이어가고 있음.
출처 : 에프앤가이드"
보락,"식품향료,식품첨가물,화학제품,껌베이스(자일리톨,에리스리톨),담배향료 제조,판매",기타 화학제품 제조업,"기업개요
동사는 1959년 한국농산공업(주)로 설립되었으며, 사업다각화에 따라 주식회사 보락으로 상호를 변경함.
식품첨가물사업 및 원료의약품사업 등을 주요 사업으로 영위하고 있으며, 상품의 매출과 기타(임가공 외)사업을 영위하고 있음.
식품향료, 껌베이스, 생약제, 식품기능성 소재, 천연화장품 신소재 개발 등 최근 트렌드에 맞는 시장의 흐름을 파악하여 제품을 개발하는데 중점을 두고 연구개발을 통해 꾸준히 신제품을 출시중임.
출처 : 에프앤가이드"
빙그레,"아이스크림,우유,스낵,유산균(욥닥터캡슐) 제조",낙농제품 및 식용빙과류 제조업,"기업개요
동사의 사업부문은 유가공 단일 부문으로 구성되어 있으며, 온도대별로 냉장품목군과 냉동 및 기타품목군으로 이루어져 있음.
동사의 주요 제품으로는 '바나나맛우유', '요플레', '투게더', '아카페라', '따옴' 등이 있으며, 종속회사인 해태아이스크림의 주요 제품으로 '부라보콘’ 등이 있음.
동사의 판매전략은 품목 대형화 및 집중화, 직거래 영업 활성화, 영업력 강화이며, 매년 꾸준한 연구개발 투자로 다양한 신제품을 개발하고 있음.
출처 : 에프앤가이드"
사조대림,"게맛살,어육연제품,식용류,배합사료 제조",수산물 가공 및 저장 처리업,"기업개요
동사는 1964년 설립되어 식품, 식용유 제조 및 판매업과 원양어업을 주요 사업으로 하는 회사로, 1976년 유가증권시장에 상장함.
동사와 연결종속회사들의 주요사업부문은 식품사업부문, 축산사업부문, 수산사업부문으로 구분되고 있으며, 총 5개의 종속회사로 구성되어 있음.
수산부문은 세계 최다 횟감용 참치선단을 보유한 사조그룹과 수산부문을 통합함으로써 트롤분야 업계 1위의 자리를 확고히 함.
출처 : 에프앤가이드"
신송홀딩스,사업경영 및 관리자문,산업용 농·축산물 및 동·식물 도매업,"기업개요
동사는 2010년 6월 부로 '신송식품홀딩스'를 흡수합병하면서 존속회사는 '신송홀딩스'로 상호를 변경하여 현재 지주회사 체제로 전환함.
동사는 순수지주회사로서 보고서 작성 기준일 현재 해외법인을 포함하여 4개의 자회사(신송식품,신송산업,Singsong (HK), Singsong Global Singapore Pte) 보유함.
투자사업부문, 식품사업부문, 해외사업부문, 투자부동산부문, 소재수업부문 등이 있음.
출처 : 에프앤가이드"
조흥,"휘핑크림,인스턴트이스트,프루츠칵테일,크림치즈,견과류,건조과일 제조,판매/주택 신축,판매",기타 식품 제조업,"기업개요
동사는 1959년 설립되어 주력으로 삼아오던 화학제품의 생산을 중단한 뒤, 현재는 식품 및 식품첨가물을 제조하고 있음.
치즈 및 기타 식품첨가물의 제조 및 판매사업을 영위하고 있으며, 동사 제품 및 상품 매출은 모두 국내에서 이루어지고 있음.
치즈가공 사업은 치즈의 쓰임새가 다양한 식품의 원재료로 쓰이고 있어 수요가 계속 증가하는 추세이며 안정적인 발전이 기대되는 분야임.
출처 : 에프앤가이드"
하이트진로,소주,알코올음료 제조업,"기업개요
동사의 영업부문은 맥주사업, 소주사업, 생수사업 및 기타사업부문으로 구성되어 있으며, 이 중 맥주사업과 소주사업이 매출의 상당 부분을 차지하고 있음.
맥주 부문의 주요 제품으로 2019년에 출시한 청정라거-테라가 있으며, 2023년 3월 기준 37억병 판매를 돌파하였고 4월 올몬 맥주 켈리를 출시함.
소주 부문은 대한민국 대표 소주 '참이슬'과 소주 시장에 새로운 바람을 일으키고 있는 '진로' 가 국내 소주시장을 리딩함.
출처 : 에프앤가이드"
TS트릴리온,기업인수합병,기타 화학제품 제조업,"기업개요
탈모시장을 타겟으로 하여 헤어케어, 피부관리 등 안티에이징 제품 등을 제조/판매하는 사업을 영위하고 있음.
3대 홈쇼핑사에서 제공한 2019년 이미용 히트상품 분석자료에서 탈모샴푸 부문과 일반 샴푸 부문에서 TS샴푸가 1위를 차지함.
지속적인 R&D 및 제품 라인 확장, 글로벌 광고 및 마케팅 집행, 오프라인 유통 채널 확보를 통해 사업을 확장해나갈 계획임. 2020년 12월 30일 스팩합병을 통해 코스닥시장에 이전상장함.
출처 : 에프앤가이드"
