Company,items,industry,description
매일홀딩스,유제품,낙농제품 및 식용빙과류 제조업,"기업개요
분할전 회사는 지주회사 체제 전환을 위해 2017년 5월 자회사 지분의 관리 및 투자를 목적으로 하는 투자사업부문과 기존의 유가공 제조 및 판매를 담당하는 유가공사업부문으로 인적 분할함.
지주회사인 동사와 유가공사업을 영위하는 매일유업, 음료점 및 음식점업을 영위하는 엠즈씨드, 크리스탈제이드코리아가 종속회사로 있음.
또한 유통 및 서비스업을 영위하는 엠즈푸드시스템, 상하낙농개발, 상하농어촌테마공원을 종속회사로 보유함.
출처 : 에프앤가이드"
보라티알,"유가공품, 소스류, 파스타류",음·식료품 및 담배 도매업,"기업개요
2015년 인적분할로 설립되어 파스타, 올리브오일, 토마토소스 등 가공식품을 수입하여 유통하는 식자재 수입 유통 전문기업.
이탈리아, 스페인 등의 40여개 가공식품 제조사로부터 720여 가지의 식자재들과 식료품들을 수입, CJ 프레시웨이, 신세계푸드 등 국내 총 1,900여개 업체에 공급.
이태리 식자재 분야의 선두주자로서 다년간 축적된 레시피 등을 바탕으로 신규사업인 HMR 식품 사업을 추진하고 있음.
출처 : 에프앤가이드"
전진바이오팜,"방충방향제, 유해동물피해감소제, 기생충피해감소제",기타 화학제품 제조업,"기업개요
동사는 2004년 9월에 설립되어 천연유래소재로 이루어진 라이브러리를 구축하고 이를 이용하여 유해생물에 의한 피해를 예방, 방지하는 피해감소제 사업을 영위하고 있음.
이러한 라이브러리를 이용하여 생활용품 제품, 동물용품들로 확장함.
생활용품 사업군, 동물용품 사업군으로 사업영역을 확장하는 한편, 신규사업 부문인 기생충(Sea Lice) 피해감소제를 연구개발하여 상용화를 추진하고 있음.
출처 : 에프앤가이드"
커머스마이너,"건강기능식품, 블랙박스, 내비게이션 등",상품 종합 도매업,"기업개요
2011년 1월 전자제품 부품 개발, 제조 및 판매를 주사업 목적으로 설립되었으며 현재 주력 사업은 스마트카 부문임.
임베디드 소프트웨어 기술 중 비전엔진 기술에 특화되어 있으며 해당 기술은 스마트카, 스마트 홈, 웨어러블 디바이스, 드론 등 다양한 분야로 응용이 확대되고 있음.
2017년 4월 AR 오픈소스 플랫폼 '글림스(Glimpse)'를 전세계 최초로 공개한 바 있음.
출처 : 에프앤가이드"
케이씨피드,사료,동물용 사료 및 조제식품 제조업,"기업개요
동사는 1970년 5월 경북축산주식회사로 설립되었으며 1995년 6월에 코스닥시장에 상장함.
배합사료 제조업을 주사업목적으로 실립되었으며, 2017년 농업회사법인 케이씨프레쉬를 흡수합병하여 배합사료 생산·공급, 거래 농가의 계란 구입, 액란 제조 판매 사업을 영위 중임.
비료기술과 노하우를 가진 일본회사와 컨설팅을 2020년 2월까지 진행, 비료생산업 등록 후 가축분퇴비인 '봉선화'를 출시하여 판매중에 있음.
출처 : 에프앤가이드"
하림,"육계, 육계가공식품","도축, 육류 가공 및 저장 처리업","기업개요
동사는 2011년 사업부문 중 육계가공 및 사료제조업 등 사업부문 일체를 단순 인적 분할하여 신설된 회사임.
주요 사업으로 양계 및 양계 가공업, 사료제조업을 영위하고 있으며, 동 위탁 사육, 부화, 종계업, 농산, 수산, 축산판매사업을 수행하고 있음.
종속회사인 HBC는 원종계, 종계 사육을 통한 종란을 생산하고 하림애니멀클리닉은 동물성 의약품 도소매를 담당함.
출처 : 에프앤가이드"
흥국에프엔비,"과일음료(에이드베이스, 스무디, 착즙쥬스 등)",비알코올음료 및 얼음 제조업,"기업개요
2008년 3월 설립되어 청량음료, 영양식품, 과즙음료, 과실, 기타 식품첨가물 등의 제조 및 판매를 주요 사업으로 영위하고 있으며, 과일농축액은 시장의 선도자로서 독보적인 시장지위 및 브랜드 인지도를 확보.
해외에서 수입하는 주요 원재료인 오렌지, 레몬, 청포도 등의 원과와 퓨레 등은 자회사인 모닝듀에프엔비를 통해 직접 수입 및 대행하고 있음.
업계 유일의 동결농축 공정을 음료제조에 접목하여 비열처리 커피·비커피 제품을 생산함.
출처 : 에프앤가이드"
동서,"식품 유통, 다류 및 연포장재 제조 등",음·식료품 및 담배 도매업,"기업개요
동사는 1975년 5월 16일에 설립돼 1995년 12월 27일에 코스닥시장에 상장한 바 있으며, 이후 상장폐지한 후 2016년 7월 15일 유가증권시장에 신규 상장함.
식품사업, 포장사업, 다류사업, 수출ㆍ입 및 구매대행업 등을 주요 사업으로 영위하고 있음.
원료의 재배부터 생산, 출하까지 정밀 분석기기를 도입 운영하여 유해물질의 제품 혼입을 원천적으로 예방 관리하고 있음.
출처 : 에프앤가이드"
동원산업,지주회사,기타 금융업,"기업개요
동사는 2022년 동원엔터프라이즈와의 합병을 통해 동원그룹의 지주회사가 되었으며 동사의 지주부문 영업수익은 계열회사에 대한 용역서비스 매출 및 상표권 사용수익 그리고 IT부문 매출 등으로 구성되어 있음.
동사는 PS/ST 생산용 선망선과 PS 생산용 참치 선망선에서 횟감용 참치를 생산함으로써 부가가치를 증대함.
주력 자회사들이 전반적으로 안정된 사업기반을 바탕으로 양호한 영업실적을 유지하고 있음.
출처 : 에프앤가이드"
동원수산,"원양어업/수산물 제조,가공/참치어류 냉동냉장업",어로 어업,"기업개요
동사는 1970년 5월 5일 설립되었으며, 1996년 11월 22일 한국거래소에 상장됨.
창업 후 현재까지 어업 및 식품가공, 수산물 유통 등의 수산분야에 매진해온 전통 있는 기업임. 16척의 원양어선을 보유 중.
상장 후에도 뉴질랜드와 중국등지에 현지법인을 설립하고, 참치 가공전문 자회사를 설립하는 등 더욱 전문화된 수산전문기업으로 발돋움 하기위해 노력을 경주하고 있음.
출처 : 에프앤가이드"
