Company,items
KG스틸,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매"
KISCO홀딩스,지주사업
OCI홀딩스,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매"
남해화학,"비료(요소,복합비료),공업제품원료 제조,도매"
대한제강,"제강,철재,철근,환봉,마환봉,빌레트 제조"
만호제강,"와이어로프,합성섬유로프,특수강선 제조,수출,임대"
백광산업,"가성소다,합성염산 제조,판매"
부국철강,철강
삼영,"합성수지(BOPP,캐파시타),PPC,랩,종이상자(카톤팩) 제조"
세아베스틸지주,"특수강,철도용품,자동차부품 제조,수출입"
세하,"백판지,마니라판지,지류,하수처리기계 제조/상하수도설비공사,수질오염방지시설공사"
제일연마,"연마석,다이아몬드공구 제조,도소매/주택건설"
조선선재,용접재료
코오롱플라스틱,엔지니어링플라스틱
태림포장,"골판지,골판지상자,수출용박스 제조,도매/인쇄"
한솔제지,"인쇄용지, 산업용지, 특수지 제조 및 판매"
한솔케미칼,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출"
나노캠텍,투명전도성관련제품
누보,기업 인수 및 합병
아셈스,핫멜트 접착 필름
와이엠티,"PCB, 반도체 및 디스플레이 제조용 화학소재 등"
케이디켐,PVC 안정제
피제이메탈,"탈산제, 조재제"
BGF,지주회사
NI스틸,"스틸파이프,철강재임가공 제조,도매"
고려제강,"PC강선,선재 2차제품,와이어로프,비드와이어,SC(Surpass Coat) Stand,각종선재 제조,도매"
금비,"유리제품(주류병) 제조/화장품 도소매,수입(병제조기기)"
대영포장,"골판지원단,골판지상자 제조"
대한화섬,"화학섬유원사(FY,PTY,S.FIBER)제조"
대호에이엘,"알루미늄 환절판 제조,도매,무역"
락앤락,플라스틱 밀폐용기
미원상사,"계면활성제,분황,황산,도료첨가제,프라스틱첨가제 제조"
미원에스씨,에너지경화수지
성창기업지주,"합판, 마루, 파티클보드, 우드칩, 포르말린 등 제조"
세아제강,강관
세아제강지주,경영컨설팅업
아세아,"회사본부,지주회사 및 경영컨설팅 서비스업"
코스모화학,"이산화티타늄 및 부산물, 황산코발트 및 부산물"
코오롱인더,"산업자재, 화학, 필름"
후성,"불소화물 제조,도매"
휴스틸,"강관(배관용,구조용,유정용) 제조,도매"
광진실업,마봉
나노씨엠에스,"근적외선 흡수/반사 안료, 자외선 유기형광 안료, 적외선 발광체"
대림제지,골판지원지
동국S&C,Wind-Tower
동국산업,"철강무역,강판제품제조"
석경에이티,바이오 및 전기전자 나노 소재
쎄니트,스테인레스 냉연강판
연우,화장품 용기
와이오엠,"VCI,LDPE필름 외"
육일씨엔에쓰,IT용 Cover Glass
한국선재,철강선재류
한창산업,"아연말,리튬브로마이드,산화망간,인산아연"
POSCO홀딩스,"열연코일,냉연강판,후판,선재,스테인리스 제조"
TCC스틸,"석도강판,표면처리강판 제조,판매"
고려아연,"연,아연괴 제조,판매"
동남합성,"계면활성제,정밀화학품 제조,도매/부동산 임대"
동일제강,"PC강연선, 경강선, 도금선, 마봉강"
무림P&P,"표백화학펄프(B.K.P) 제조,목재가공,조림사업"
미원홀딩스,도료첨가제
삼아알미늄,"알루미늄박지,은박지,은박가공품,알페이스트 제조,도매,수출"
