Company,items
동화약품,"의약품 제조,판매,수출입"
셀트리온,"램시마, 트룩시마, 허쥬마"
이연제약,"항생제,순환기제"
HK이노엔,"전문의약품, 숙취해소음료"
JW신약,"매니큐어세트, 손톱깎이"
경동제약,"듀오로반정, 발디핀정, 아트로반정 등"
대성미생물,"동물용 의약품, 미생물제재"
디알젬,"진단용 엑스선 촬영장치 및 부분품, X-ray 제너레이터 외"
디알텍,"X-ray Detector, X-ray System"
디엔에이링크,"유전체분석(EGIS), 개인유전체분석(DNAGPS)"
랩지노믹스,체외진단 서비스 및 제품
레이언스,"TFT Detector, CMOS Detector, I/O Sensor"
메드팩토,항암제 신약개발
메디톡스,"의약품원료(A형,B형 보툴리늄독소 단백질치료제) 제조,연구,개발"
바이오톡스텍,"안전성평가, 유효성평가"
비스토스,환자 및 태아감시장치
셀트리온헬스케어,바이오의약품 마케팅 및 판매
씨엔알리서치,금융 지원 서비스
아시아종묘,종자
아이큐어,"플라스타, 의약 및 의약외품 패취등, 마스크팩, 화장품 기초라인"
에스바이오메딕스,줄기세포 치료제 연구 및 개발
에스씨엠생명과학,세포치료제
엘앤씨바이오,"인체조직(피부, 뼈, 연골)"
오스테오닉,골접합 및 재건용 금속소재 및 생체복합재료 기반 임플란트
이수앱지스,"항체치료제,효소치료제"
이오플로우,웨어러블 인슐린펌프
제노레이,의료용 방사선 진단기기
제이시스메디칼,미용의료기기
제테마,"히알루론산 필러(조직수복용생체재료), 피부과용 레이저 의료기기, 리프팅실 등"
지씨셀,"세포치료제, 검체검사서비스, 제대혈은행"
차바이오텍,"세포치료제 개발, 제대혈 보관 등"
케이바이오,"실험용 시약, 과학기자재 등"
퓨쳐켐,"PET 방사성의약품, 자동합성장치, 합성시약 및 전구체"
프레스티지바이오로직스,바이오시밀러 제조
프리시젼바이오,체외진단 기기 및 시약
피플바이오,올리고머화 베타-아밀로이드 검사제품(알츠하이머병 진단)
하이텍팜,주사제용 무균 원료의약품(Sterile Imipenem 외)
휴럼,금융지원 서비스
JW중외제약,"수액제,소화기궤양치료제,항생제,항암제 제조,도매"
JW홀딩스,의약품 수출입업
SK바이오사이언스,백신 제품 및 제제
부광약품,"의약품,치약,의약부외품(부광탁스,레가론,부광안티프라그) 제조"
서흥,"의약품(하드캅셀,건강보조식품,소프트캅셀),건강보조식품,인삼제품 제조,판매"
신풍제약,"의약품(항생제,혈전용해제,향정신성약품,구충제) 제조,판매"
유한양행,"의약품(삐콤씨, 안티푸라민, 렉라자, 로수바미브, 코푸시럽 등), 생활용품(유한락스, 해피홈, 유한젠), 동물약품"
한독,"의약품(소화제,크라포란,라식스)제조,도매,부동산 임대"
HLB제약,"씨트리시메티딘정, 로자틴정"
HLB테라퓨틱스,"임베디드 GUI 미들웨어 FXUI-2D, FXUI-3D"
대화제약,"후로스판, 세파메칠 등"
디오,자동포장기계
리메드,자기장 치료기기
바이오니아,"합성유전자,시약및유전자분석장비"
바이오다인,액상세포검사 장비 및 소모품
바텍,"치과용 디지털 X-ray기기 (파노라마, CT) 및 구강스캐너 등"
블레이드 Ent,"콘돔,고무골무,의료용 장갑"
서울제약,"정제,연질캅셀제,경질캅셀제,연고 및 크림제 등"
싸이토젠,CTC 기반 Liquid Biopsy 응용사업 및 플랫폼
씨젠,"호흡기성 병원체 검사제품, 성감염증원인균 검사제품"
에이비온,"표적 항암제, 바이오 베터 신약"
에이프로젠 H&G,"모바일게임 퍼블리싱, 바이오의약품 연구개발업 및 판매, 생산설비 및 연구장비의 대여 및 판매"
엠아이텍,비혈관 스텐트 및 체외충격파 쇄석기
인피니트헬스케어,의료영상저장전송시스템(PACS)
일신바이오,초저온냉동고및동결건조기
중앙백신,동물용백신
지니너스,"NGS기반 조직생검 암유전체 동반진단(CancerSCAN), 액체생검 암유전체 동반진단(LiquidSCAN), 단일세포분석(Celinus) 등"
진바이오텍,"펩소이젠(식물성단백질),바이오스타치(가공전분),나투포멘(친환경생균제),락토케어(항생제대체형미생물제제)등"
진시스템,분자진단기반 플랫폼 개발 및 제조·판매
진양제약,"소부날, 옥티란"
큐리언트,저분자 혁신신약
클래시스,미용의료기기
테라젠이텍스,"Loading/Unloading System, PCB Bonding System"
헬릭스미스,"바이오신약, 천연물신약 연구개발"
휴메딕스,"히알루론산 관절염치료제, 히알루론산 더말필러"
휴온스,"전문의약품, 일반의약품"
JW생명과학,"기초수액, TPN, 특수수액, HEMO, 영양수액 등"
광동제약,"의약품,식음료 제조,도매"
덴티움,치과용 기기 제조업
동성제약,"의약품,화장품 제조,도매"
에스디바이오센서,STANDARD Q 항원/항체 진단키트(COVID-19 진단키트)
영진약품,"의약품(드링크제,항생제,영양수액제),의약부외품 제조,판매"
팜젠사이언스,의약품 외
하나제약,완제의약품
한컴라이프케어,"공기호흡기, 방독면, 보호복 등"
EDGC,유전체 분석 진단 서비스
HLB,"의료기기, 의약외품 등"
HLB생명과학,"ESCO 사업, 신재생에너지 사업"
대한약품,수액제
바이오플러스,"생체재료 개질 기술을 사용한 히알루론산(HA) 기반 더말필러, 유착방지제 및 그 응용제품"
바이젠셀,"면역세포치료제 (면역항암제, 면역조절치료제 등)"
뷰웍스,X-Ray Detector
비올,의료기기
삼천당제약,"하메론, 아토로우"
서린바이오,생명과학연구기기및시약
세종메디칼,복강경수술용 투관침 등
셀레믹스,타겟캡처키트
셀리드,항암면역치료백신
수젠텍,체외진단 기기 및 시약
시너지이노베이션,카메라 어플리케이션 프로세서(CAP)
신일제약,"디펜플라스타, 맥스케어, 트레스, 리피칸"
씨티씨바이오,"동물용항병원성제품, 생균효소제"
아미코젠,제약용 특수효소 및 효소기반 바이오신소재
알테오젠,바이오시밀러 및 바이오베터
애드바이오텍,"동물용약품,영양제,단미사료(네오폐녹스),보조사료 제조,도매/식품첨가물,화장품 도소매,무역"
에이치엘사이언스,건강기능식품 등
위더스제약,의약품 제조 및 도소매(순환기용제 등)
인벤티지랩,마이크로/나노 입자 기반 약물전달 플랫폼 및 관련 제품
제넨바이오,휴대폰윈도우
지노믹트리,암 조기진단 제품
지더블유바이텍,"무선통신,방송및응용장치제조업"
차백신연구소,백신 및 면역증강제 등
코미팜,동물약품
티앤엘,"창상치료재, 정형외과용 고정재"
파나진,의료용품및 기타 의약관련 제품 제조업
플라즈맵,플라즈마 멸균기 및 표면처리기기
피엔케이피부임상연구센타,피부인체적용시험
한국파마,"완제의약품(정신신경계, 소화기계, 순환기계, 항생항균, 기타)"
화일약품,의약품 원료
휴비츠,"자동검안기, 자동렌즈미터"
경보제약,"아토르바스타틴, 세프티족심, 세프트리약손"
더메디팜,의료기기 도매
삼진제약,"의약품(게보린,세트라졸,염산나록손) 제조,판매,수출입,약초재배"
에이프로젠,"단열장치,철구조물,가열로,특수단열재(금속표면경화육성,원자로용) 제조/단열공사/부동산 임대"
오리엔트바이오,의약품 제조
일동제약,"아로나민, 후루마린, 큐란, 라비에트, 사미온 등"
현대약품,"타코실, 마이녹실, 테놀민, 미에로화이바 등"
HLB바이오스텝,비임상실험 유효성(약리)평가
그린생명과학,의약품 중간체 등
네오펙트,라파엘스마트글러브 외
녹십자엠에스,"혈액백, 진단시약, 혈액투석액"
레이,"디지털 치료솔루션(CT scan 장비, 3D 프린터), 디지털 진단시스템(X-ray, CT 등)"
마크로젠,"DNA Sequencing, Microarray, Genetically Engineered Mouse"
메디포스트,제대혈은행
멕아이씨에스,인공호흡기
바이오솔루션,"세포치료제, 인체조직모델 등"
뷰노,"뷰노메드 음성솔루션, 뷰노메드 영상솔루션, 기타 솔루션 등"
비엘팜텍,건강보조식품 등
솔본,경영자문 및 지주사업
쎌바이오텍,유산균 원말 및 완제품
아미노로직스,DVR용 영상처리 칩
엘앤케이바이오,척추 임플란트
유바이오로직스,"경구용 콜레라 백신, 바이오의약품 수탁 연구 및 제조"
유틸렉스,"면역항암 세포치료제, 면역항암 항체치료제"
제노포커스,산업용 효소
제이엘케이,"인공지능 기반 의료영상 진단 플랫폼, 인공지능 기반 산업용 X-ray 판독시스템"
지놈앤컴퍼니,"마이크로바이옴 기반 치료제, 화장품, 건강기능식품"
지엘팜텍,의약품 연구개발업
진매트릭스,"B형간염치료제 내성진단,C형간염바이러스 유전형진단, 자궁경부암유발바이러스 유전형진단"
콜마비앤에이치,건강기능식품
큐라클,혈관질환치료제 등
펩트론,약효지속성 의약품 및 펩타이드 소재
대웅,"지주회사/의약품,화공약품,농예약품,위생용품,의료용구,식품,전기전자기구,부품 제조,판매"
동아쏘시오홀딩스,"의약품(피로회복제/박카스,병원용의약품),비의약품(의료기기,염모제,가글제) 제조,도소매/화장품 생산"
신흥,"치과용기자재(방사선장치,전기진단장치),주사침 도소매,제조/부동산 임대"
유유제약,"의약품 제조,판매"
일양약품,"일반의약품(원비디,영비천,아진탈,디세텔,노루모산),항암제(베타-이뮤난),전문의약품 제조,판매,수출입"
종근당,"딜라트렌,리피로우"
진원생명과학,플라스미드
네이처셀,닥터쥬크르
녹십자웰빙,"전문의약품, 건강기능식품"
덴티스,임플란트외
드림씨아이에스,시판후조사대행(rPMS)
디티앤씨알오,비임상 및 임상시험 대체 용역
라이프시맨틱스,"소프트웨어(개인건강기록 플랫폼,진료기록번역플랫폼,질병분류기호 검색) 개발,공급/의료기기 도매/자문,컨설팅/전자상거래,통신판매"
마이크로디지탈,"바이오 분석 시스템, 메디칼 자동화 시스템"
