Company,items
에스제이그룹,"캉골 가방/모자, 헬렌카민스키 모자"
오로라,"캐릭터디자인,캐릭터완구 등"
오텍,"냉동 및 내장탑차, 앰블란스"
위닉스,일반목적용 기계제조업
코스메카코리아,"화장품 OEM, ODM"
한일단조,단조품
형지I&C,"의복, 악세사리"
F&F,"MLB, MLB KIDS, DISCOVERY 등 패션의류제품"
넥센타이어,"타이어,후랩,고무제타이어(승용자동차용,래디알구조) 제조"
디아이씨,"자동차부품(트란스밋숀,프런트액슬,기어,전동축),변속동력전달장치,특수공구,농기계 및 산업기계부품 제조,무역"
롯데관광개발,"국내외여행알선,관광개발,전세운수,항공권매매대행"
부산주공,"자동차부품(엔진부품,조향장치부품,브레이장치부품,오토미셧부품) 제조,도매/부동산 임대"
서연,"자동차부품(승용차내장품-도어트림,헤드라이닝,승용차시트) 제조,도매"
세우글로벌,"화공약품.엔지니어링 플라스틱,페놀계제품,석유화학제품 판매/철재가구,사무목재가구 제조/교육사업"
신성통상,"의류,악세사리(모자,벨트,가방) 도매/의류 제조"
영원무역,스포츠의류
영원무역홀딩스,"스포츠의류(등산복,운동복,스키복) 도소매,수출,섬유봉제"
용평리조트,"리조트 운영, 콘도 분양"
지엠비코리아,"VS, TIB, CVJoint 등"
평화산업,"자동차부품(방진고무,방류고무(COVER류,CUP류),호스류),장비시설용 부품 제조,판매"
플레이그램,유연성 산업용 포장재(FIBC) 제조 판매
한국콜마,"화장품, 의약품"
현대퓨처넷,"디지털 사이니지, 기업 메시징 등"
화승코퍼레이션,"산업용 고무제품(호스시트,벨트,펜더 등) 제조, 판매"
내츄럴엔도텍,"백수오 여성호르몬제, 백수오등복합추출물(원료)"
다산솔루에타,전자파 차폐소재
디딤이앤에프,"직영음식점, 축산물가공, 프랜차이즈"
메가스터디교육,"오프라인 학원, 온라인 강의"
모베이스전자,"스마트키,스위치"
바른손,지제품
부방,"자회사관리, 부동산임대"
새로닉스,"광학시트, FFC"
성창오토텍,"차량용 에어컨필터, 차량용인버터 등"
알톤스포츠,전기 및 일반자전거 등
오토앤,자동차 지급품 및 애프터마켓 제품
우리산업홀딩스,HVAC ACTUATOR (자동차 공조장치 부품 등)
이노진,"탈모케어제품(볼빅), 피부케어제품(Dr.메디션)"
지엔코,"캐쥬얼의류(Thursday Island, TI FOR MEN)"
참좋은여행,여행상품
크레버스,청담어학원
크리스에프앤씨,골프웨어
파라다이스,카지노
폴라리스우노,"PVC가발사, 난연고열사"
HL홀딩스,지주회사 및 경영컨설팅 서비스업
기아,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비"
명신산업,자동차차체부품
모나미,"BP153(BALL POINT PEN), P-3000(PLUS PEN), 유성매직, 보드마카, 네임펜, PARKER, WARTERMAN, 색연필"
비비안,"여성내의류(스타킹,화운데이숀,란제리),카바링사 제조,수출입/부동산 매매,임대"
비상교육,"참고서 출판/소프트웨어 개발,공급"
성안,"제직,염색,폴리에스터직물,자수직물봉제 제조,판매/임대료,관리비 수입"
신영와코루,"여성용 내의류(화운데이션,란제리,블래지어),환자,노령자용 파자마,남성용 내의류 제조"
신원,"여성,남성의류,스웨터,의복관련 악세사리,사카린,망초 제조,판매,수출입/섬유의류 도매/신용카드업/의류전문 물류대행 및 임대사업"
에스엘,"자동차부품(자동차램프, 전동화부품, 전자부품) 제조, 판매"
에이블씨엔씨,"화장품 제조,도소매/소프트웨어 자문,개발,공급/전자상거래"
이월드,"놀이시설 운영,입장료,식음료 소매,부동산 임대"
인팩,"자동차용 케이블,전자정보통신관련기기 제조,도매"
일진하이솔루스,"수소승용용기, 매연저감장치 등"
조광피혁,"가죽(피혁원단,제화용원단,카시트용원단),가방,신발 제조,도매"
케이비아이동국실업,"자동차부품(에어닥트,글로벌박스,노즐,어셈블리류,핸들류) 제조,판매/공장 임대"
코웨이,"렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)"
쿠쿠홀딩스,주방용 전기기기 제조업
쿠쿠홈시스,"정수기, 공기청정기 등"
태원물산,"자동차부품,워터펌프,인산정제석고,건축자재(불연내장재), 제조,수출입"
티에이치엔,"자동차부품(전기배선장치류) 제조,도매"
한국무브넥스,"자동차부품(제동,구동장치),프랜지(관이음쇠),철구조물,산업기계 제조"
한온시스템,"자동차용부품(라디에이터,히터,에어콘,압축기,콘덴서,컴퓨레사) 제조,도매"
현대백화점,백화점
형지엘리트,"학생복,스포츠의류,작업복 제조,도매"
화승엔터프라이즈,
휠라홀딩스,"스포츠의류,신발,가방,시계,골프장비,화장품,가죽제품(지갑,키홀더) 도매,수출입"
YW,도소매
공구우먼,플러스사이즈 여성용 의류 및 잡화
네오오토,"피니언 기어, 디프 어셈블리, 대형기어"
동아화성,자동차용 고무부품
로보로보,교육용로봇
본느,기업인수합병
블리츠웨이,기업 인수 및 합병
삼보모터스,증명서 자동발급기
서울옥션,미술품경매
손오공,"완구, 게임, 캐릭터수입수수료"
스킨앤스킨,"화장품제조,마스크"
신성델타테크,"세탁기, 자동차, 에어컨 및 LCD 부품"
에스맥,자동차 신품 부품
에코캡,"자동차 부품(전선, 케이블, 벌브소켓, LED 등)"
엑서지21,"바이오리엑터(Bioreactor, 생물반응기)"
엔브이에이치코리아,"헤드라이너, NVH부품"
엠에스오토텍,자동차 차체 부품
오스템,휠
올리패스,인공유전자 플랫폼(OliPass PNA) 기술을 활용한 RNA치료제 신약개발
원풍물산,남성용신사복
유니크,"EGR밸브, 유압솔레노이드밸브, 퓨얼벤트밸브, 퓨얼컷트밸브, 체크밸브, 케니스타 등"
이상네트웍스,기업간전자상거래서비스
이퓨쳐,Smart Phonics 등(외국어 어학교재)
케이티알파,"커머스, 콘텐츠, ICT"
크린앤사이언스,자동차용 여과지
폴라리스세원,자동차 공조장치 부품
피에이치에이,"자동차용 도어랫치, 도어힌지"
한국큐빅,Curl Fit(표면처리사업)
SNT홀딩스,"지배,경영지도,정리,육성"
경방,"섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입"
광주신세계,백화점
대원화성,"합성피혁,벽지,DMF(폐용수)정제,방수투습원단,화공약 임가공,제조,도매,수출입"
대유에이텍,자동차부품(자동차용 시트)제조
덕성,"플라스틱레쟈,합성수지,합성피혁 제조,도매"
동아타이어,타이어 및 튜브
롯데하이마트,"가전제품,잡화 도소매/부동산 임대"
삼원강재,"열간압연제품(평강,봉강,특수이형강,환강,자동차용 겹판스프링) 제조,판매"
삼익악기,"피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매"
신세계,"백화점,할인점(E마트)"
케이카,오프라인 및 온라인 중고차 매매업
한국화장품,화장품
한국화장품제조,"화장품(OEM,ODM)"
한섬,"여성의류,금속 액세서리,신발,가방,선글라스 제조,판매"
